discipline;lectures;seminars;practice;module_1;module_2;module_3;module_4
Цикл дисциплин направления;52.0;28.0;;False;False;True;True
Базовая часть;52.0;28.0;;False;False;True;True
Системный анализ и проектирование;24.0;;;False;True;True;True
Экономико-математическое моделирование;24.0;;;False;True;True;True
Совершенствование архитектуры предприятия;4.0;28.0;;False;False;True;True
Стратегическое управление инновациями;24.0;;;True;False;False;True
Управление внедрением информационных систем;24.0;16.0;;True;True;False;False
Вариативная часть, в т.ч. дисциплины по выбору студента;176.0;16.0;0.0;True;False;False;False
Дисциплины по выбору 1 курс (4 из 10);160.0;0.0;0.0;True;False;False;False
Управление рисками IT-проектов;40.0;0.0;0.0;True;True;False;False
Анализ неструктурированных данных;40.0;;0.0;True;True;False;False
Системы поддержки принятия неструктурированных решений;40.0;;0.0;True;False;False;True
Информационно-аналитические системы управления корпоративной результативностью;40.0;;;True;False;False;False
Корпоративные финансы и финансовый анализ;20.0;20.0;;True;False;False;True
Предиктивное моделирование данных;40.0;;0.0;True;False;False;True
Управление ценностью информационных систем;40.0;;;True;True;False;False
Управление портфелем проектов - новые методические подходы и инструменты;20.0;;20.0;True;True;False;False
Системы имитационного бизнес-моделирования;40.0;;;True;True;False;False
Концептуальное моделирование;36.0;;30.0;True;True;False;False
"Дисциплина по выбору из общеуниверситетского пула ""МАГО-ЛЕГО""";16.0;16.0;;True;True;False;False
"Научно-исследовательский семинар ""Управление жизненным циклом информационных систем""";;28.0;;False;False;True;True
"Научно-исследовательский семинар ""Информационная бизнес-аналитика""";;60.0;;True;False;False;True
"Научно-исследовательский семинар ""Проектный семинар""";;24.0;;True;True;True;False
Курсовая работа;;0.0;;True;False;False;False
Проектная деятельность;;0.0;;True;True;False;False
Проект Консультационный;;0.0;;True;True;False;False
